#         Elevation : 50 deg.
#  Central Azimuths : [240.0, 75.0, 285.0, 120.0] deg.
#  Local Sid. Times : [0.86, 6.86, 12.86, 18.86] hours.
#     Azimuth Throw : 40.0 deg. (not on sky)
#     Scan Set Time : 1:05:00
#   Solar Avoidance : 45.0 deg.
#   Lunar Avoidance : 45.0 deg.
# Focal Plane Width : 35.0deg
#Site           |Telescope       |Latitude [deg]|Longitude [deg]  |Elevation [m]
 Atacama        |SAT             |       -22.958|        -67.786|         5200.0
#      Start time UTC       |Stop time UTC|Rotation|Patch name                           |Az min  |Az max      |El |Pass|Sub
  2023-11-06 23:55:00| 2023-11-07 01:00:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    6|  22
  2023-11-07 01:00:00| 2023-11-07 02:05:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|   0
  2023-11-07 02:05:00| 2023-11-07 03:10:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   1
  2023-11-07 03:10:00| 2023-11-07 04:15:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   2
  2023-11-07 04:15:00| 2023-11-07 05:20:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   3
  2023-11-07 05:20:00| 2023-11-07 06:25:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   4
  2023-11-07 06:25:00| 2023-11-07 07:30:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   5
  2023-11-07 07:30:00| 2023-11-07 08:35:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   6
  2023-11-07 08:35:00| 2023-11-07 09:40:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   7
  2023-11-07 09:40:00| 2023-11-07 10:45:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   8
  2023-11-07 10:45:00| 2023-11-07 11:50:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|   9
  2023-11-07 11:50:00| 2023-11-07 12:55:00|   45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    7|  10
  2023-11-07 12:55:00| 2023-11-07 14:00:00|   45.00|SPECIAL -- Solar Avoidance Violation |100.00|  140.00|   50.00|    7|  11
  2023-11-07 14:00:00| 2023-11-07 15:05:00|   45.00|SPECIAL -- Lunar Avoidance Violation |220.00|  260.00|   50.00|    7|  12
  2023-11-07 15:05:00| 2023-11-07 16:10:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    7|  13
  2023-11-07 16:10:00| 2023-11-07 17:15:00|   45.00|SPECIAL -- Solar Avoidance Violation |220.00|  260.00|   50.00|    7|  14
  2023-11-07 17:15:00| 2023-11-07 18:20:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  15
  2023-11-07 18:20:00| 2023-11-07 19:25:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  16
  2023-11-07 19:25:00| 2023-11-07 20:30:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  17
  2023-11-07 20:30:00| 2023-11-07 21:35:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  18
  2023-11-07 21:35:00| 2023-11-07 22:40:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  19
  2023-11-07 22:40:00| 2023-11-07 23:45:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  20
  2023-11-07 23:45:00| 2023-11-08 00:50:00|   45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    7|  21
  2023-11-08 00:50:00| 2023-11-08 01:55:00|  -45.00|Constant elevation scan.             |100.00|  140.00|   50.00|    8|   0
  2023-11-08 01:55:00| 2023-11-08 03:00:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    8|   1
  2023-11-08 03:00:00| 2023-11-08 04:05:00|  -45.00|Constant elevation scan.             |220.00|  260.00|   50.00|    8|   2
